,threshold-competitive,impact-long-queues,initial-corona-number,service-timeSA,policy-implemented,time-slot?,percentage-competitive,cum-infected,average-timequeue,min-timequeue,max-timequeue,cum-infected-10080,cum-infected-18720
236,30,3,5,5,policy 0 (baseline),False,10,635,544.2556818,4,1119,17,109
237,30,3,5,5,policy 0 (baseline),False,10,703,704.9488636,4,1283,20,125
238,30,3,5,5,policy 0 (baseline),False,10,714,637.6988636,4,1235,17,129
239,30,3,5,5,policy 0 (baseline),False,10,549,604.4943182,4,1187,22,107
240,30,3,5,6,policy 0 (baseline),False,10,802,980.5852273,5,2389,22,217
241,30,3,5,6,policy 0 (baseline),False,10,574,738.2897727,5,1328,14,85
242,30,3,5,6,policy 0 (baseline),False,10,825,782.1647727,5,1438,31,245
243,30,3,5,6,policy 0 (baseline),False,10,772,780.6704545,5,1418,26,208
244,30,3,5,6,policy 0 (baseline),False,10,629,842.7102273,5,1473,21,130
245,30,3,5,6,policy 0 (baseline),False,10,647,765.4943182,5,1383,22,126
246,30,3,5,6,policy 0 (baseline),False,10,651,762.7272727,5,1376,22,142
247,30,3,5,6,policy 0 (baseline),False,10,688,769.9829545,5,1389,19,147
248,30,3,5,6,policy 0 (baseline),False,10,773,842.7386364,5,1464,20,228
249,30,3,5,6,policy 0 (baseline),False,10,835,959.8806818,5,2413,21,258
250,30,4,1,2,policy 0 (baseline),False,10,245,87.9375,1,238,8,26
251,30,4,1,2,policy 0 (baseline),False,10,293,74.78977273,1,225,3,35
252,30,4,1,2,policy 0 (baseline),False,10,284,144.3068182,1,356,6,35
253,30,4,1,2,policy 0 (baseline),False,10,197,118.6079545,1,314,5,20
254,30,4,1,2,policy 0 (baseline),False,10,209,142.0909091,1,411,5,31
255,30,4,1,2,policy 0 (baseline),False,10,161,76.5,1,257,4,24
256,30,4,1,2,policy 0 (baseline),False,10,173,147.3636364,1,374,6,17
257,30,4,1,2,policy 0 (baseline),False,10,87,107.625,1,299,6,14
258,30,4,1,2,policy 0 (baseline),False,10,65,136.6590909,1,377,3,6
259,30,4,1,2,policy 0 (baseline),False,10,164,212.1420455,1,461,3,19
